t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,272.4000000000008,152.78164229435333,-65.39011851594046,-120.31915249668965,-126.98937351986288,-11.2231952779089,-1707.2966256389182,-18.31227473752793,-25.452196780360175,-4.385969262265742,-26.44393412126763,-45.06415900761194,-33.1254802348031,1794.8353911218298,-60.995353395156435,-55.508564771720614,-14.21476520284087,237.26931364360942,-25.188823255652625,-29.927959800825423,-180.86373246757321,-72.18905874040013,-21.154152072690334,-46.90551740931983,34.89466961504408,196.3760870580112
24.0,274.8000000000005,362.96516102604534,-155.7267624707192,-297.0925634582724,-307.08041706731143,-25.924895718440137,-3934.326573277257,-29.655916115701178,-58.870903543354146,-12.037810675303039,-46.35551485909898,-108.77514621019454,-76.90569252129065,3715.6833950139066,-141.2831634883446,-128.60904038914018,-32.83495688563552,592.0246484299313,-58.18441971819143,-69.13163584267016,-447.0214927247636,-181.47921380540464,-49.25267319397891,-108.73683552126208,88.29767459275932,453.5823453370731
36.0,277.2000000000005,637.8364098959639,-270.0375467778541,-539.1179968436289,-546.3691151818905,-43.374780370877524,-6635.750741907622,-23.432852194168216,-96.4411788995061,-24.013519680451484,-49.58720450498332,-191.48332405352602,-129.64992412799222,5498.3786714805465,-237.35896870262465,-216.15402299641457,-54.935358768489294,1087.6416350156048,-97.34751131889365,-115.66344299469246,-812.5585447422719,-331.59827611713956,-83.38386858872047,-182.90661969786078,164.1029282029748,758.8050859619167
48.0,279.6000000000005,986.4969091833443,-403.29596813055576,-849.9169447594952,-849.2811696121626,-62.5310605863609,-9720.34799746337,10.128930489325706,-133.00353140332925,-40.98767108340677,-29.114819619089218,-290.049024287673,-188.68141822245687,6866.193775597214,-343.9588176538033,-313.38888876585884,-79.19626795808026,1736.1114106947136,-140.33977902821172,-166.74523272034727,-1284.441436151683,-520.4130059783821,-121.98222914604591,-265.45906442452014,265.13918522815635,1093.7739593871697
60.0,282.0000000000002,1411.0027196372757,-545.4748426378906,-1227.535706343677,-1216.4433751212525,-82.39707366146706,-13100.828071038066,76.04165028586142,-164.4615457116861,-63.06260265403242,17.504313825851234,-396.25012311058504,-251.3090238039615,7616.912761505433,-455.9165282541868,-415.6347114596004,-104.35526269229771,2534.912171973608,-184.92428276105733,-219.71924553772922,-1862.1450604915897,-741.6052122885372,-163.4197096449942,-352.4793322179334,390.9257547141912,1441.0114174337907
72.0,284.39999999999964,1885.2430788296283,-678.9738045636312,-1661.179285346676,-1556.9515056986986,-101.25362663937278,-16617.064384490805,165.5030052987326,-185.98452195486948,-89.8594006836507,83.07697128955158,-495.59948091409,-313.08570897841247,7576.927082255603,-564.5166490386138,-515.0164424143397,-128.23579695015505,3471.012448998703,-227.24325899609448,-270.00144744136736,-2529.526959110839,-972.8762420869051,-205.08301536264727,-437.4092209832189,511.5690865388319,1770.4214683061668
84.0,286.7999999999999,2305.885872640417,-777.4684008123234,-2117.956188288086,-1618.033038430713,-115.42501916965449,-19870.283683831836,238.59536859589807,-191.7108271532528,-120.02595214085916,145.52122378433097,-568.4288963407207,-364.4536549728209,6474.722654225307,-651.0751983985963,-594.6469252963356,-146.18418904669886,4471.084738330285,-259.0485484642917,-307.7909357038257,-3189.518624727232,-1159.8530507059163,-241.3349367273685,-506.1771991377317,567.0468381698242,2017.712582227663
96.0,289.20000136533764,2659.7219702827674,-845.6829227146848,-2573.6985553059935,-1679.3630761768122,-127.93838625144458,-23238.994359680208,305.3640411160966,-197.24271402401484,-151.9944104857932,216.06142602977846,-613.9809370468281,-412.09001625995086,4617.41459139009,-729.7850956354798,-667.2393098017473,-162.03285324813328,4976.1410141085,-287.1328384169834,-341.159214252235,-3355.0493188046958,-1340.3530872851538,-275.6238065086406,-569.1777530546817,610.6129851987854,2235.844192862913
108.0,325.2000013653375,3245.7734938947597,-978.1500877097592,-3004.7327602652954,-2214.5356952726365,-134.77345163630704,-27024.370734469692,426.6950013787313,-177.98951650950903,-206.59228225205658,369.51760572897314,-734.332491960033,-442.6229988928113,3304.3303991978437,-776.7257565104319,-710.8953459188473,-170.00704957197215,5981.268641753149,-301.9326166928938,-359.0870007694364,-3947.441090797258,-1552.1846250278497,-298.90877480370875,-608.3412086494684,19214.034674601025,2242.7575271335495
