t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,272.4000000000008,152.78164229435333,-65.39011851594046,-120.31915249668965,-126.98937351986288,-11.2231952779089,-1707.2966256389182,-18.31227473752793,-25.452196780360175,-4.385969262265742,-26.44393412126763,-45.06415900761194,-33.1254802348031,1794.8353911218298,-60.995353395156435,-55.508564771720614,-14.21476520284087,237.26931364360942,-25.188823255652625,-29.927959800825423,-180.86373246757321,-72.18905874040013,-21.154152072690334,-46.90551740931983,34.89466961504408,196.3760870580112
24.0,274.8000000000005,362.96516102604534,-155.7267624707192,-297.0925634582724,-307.08041706731143,-25.924895718440137,-3934.326573277257,-29.655916115701178,-58.870903543354146,-12.037810675303039,-46.35551485909898,-108.77514621019454,-76.90569252129065,3715.6833950139066,-141.2831634883446,-128.60904038914018,-32.83495688563552,592.0246484299313,-58.18441971819143,-69.13163584267016,-447.0214927247636,-181.47921380540464,-49.25267319397891,-108.73683552126208,88.29767459275932,453.5823453370731
36.0,277.2000000000005,637.8364098959639,-270.0375467778541,-539.1179968436289,-546.3691151818905,-43.374780370877524,-6635.750741907622,-23.432852194168216,-96.4411788995061,-24.013519680451484,-49.58720450498332,-191.48332405352602,-129.64992412799222,5498.3786714805465,-237.35896870262465,-216.15402299641457,-54.935358768489294,1087.6416350156048,-97.34751131889365,-115.66344299469246,-812.5585447422719,-331.59827611713956,-83.38386858872047,-182.90661969786078,164.1029282029748,758.8050859619167
48.0,279.6000000000005,986.4969091833443,-403.29596813055576,-849.9169447594952,-849.2811696121626,-62.5310605863609,-9720.34799746337,10.128930489325706,-133.00353140332925,-40.98767108340677,-29.114819619089218,-290.049024287673,-188.68141822245687,6866.193775597214,-343.9588176538033,-313.38888876585884,-79.19626795808026,1736.1114106947136,-140.33977902821172,-166.74523272034727,-1284.441436151683,-520.4130059783821,-121.98222914604591,-265.45906442452014,265.13918522815635,1093.7739593871697
60.0,282.0000000000002,1411.0027196372757,-545.4748426378906,-1227.535706343677,-1216.4433751212525,-82.39707366146706,-13100.828071038066,76.04165028586142,-164.4615457116861,-63.06260265403242,17.504313825851234,-396.25012311058504,-251.3090238039615,7616.912761505433,-455.9165282541868,-415.6347114596004,-104.35526269229771,2534.912171973608,-184.92428276105733,-219.71924553772922,-1862.1450604915897,-741.6052122885372,-163.4197096449942,-352.4793322179334,390.9257547141912,1441.0114174337907
72.0,284.39999999999964,1885.2430788296283,-678.9738045636312,-1661.179285346676,-1556.9515056986986,-101.25362663937278,-16617.064384490805,165.5030052987326,-185.98452195486948,-89.8594006836507,83.07697128955158,-495.59948091409,-313.08570897841247,7576.927082255603,-564.5166490386138,-515.0164424143397,-128.23579695015505,3471.012448998703,-227.24325899609448,-270.00144744136736,-2529.526959110839,-972.8762420869051,-205.08301536264727,-437.4092209832189,511.5690865388319,1770.4214683061668
84.0,286.7999999999999,2305.885872640417,-777.4684008123234,-2117.956188288086,-1618.033038430713,-115.42501916965449,-19870.283683831836,238.59536859589807,-191.7108271532528,-120.02595214085916,145.52122378433097,-568.4288963407207,-364.4536549728209,6474.722654225307,-651.0751983985963,-594.6469252963356,-146.18418904669886,4471.084738330285,-259.0485484642917,-307.7909357038257,-3189.518624727232,-1159.8530507059163,-241.3349367273685,-506.1771991377317,567.0468381698242,2017.712582227663
96.0,289.1999999999993,2659.721968485349,-845.6829236524022,-2573.6985560987723,-1679.3630771688256,-127.93838656352338,-23238.994359018125,305.3640397393949,-197.24271516955216,-151.99441048803206,216.0614241724077,-613.9809374172722,-412.0900170915809,4617.414588270575,-729.78509724654,-667.2393112597895,-162.03285364878727,4976.141011031432,-287.13283912166577,-341.1592150867878,-3355.0493168716434,-1340.3530881836039,-275.623807007052,-569.1777542676074,610.6128394805718,2235.844202371056
108.0,291.5999999999992,2954.8838626609117,-898.3010091653911,-2979.973256741498,-1741.8088777738092,-138.86559988270065,-26811.77537490687,370.51388327401855,-203.24494819825733,-184.57275990395695,298.3811620271433,-646.809047731324,-456.4393197415487,2593.500691175258,-801.2694056907332,-733.3815178245094,-175.87289493425916,5332.5709305220225,-311.6574950106426,-370.2979712859436,-3412.99637169133,-1518.6938313455398,-308.31748392398964,-626.9436289175836,640.4300356808391,2426.0942026998932
