t(h),V(L),rALA(mmol),rARG(mmol),rASN(mmol),rASP(mmol),rCYS(mmol),rEGLC(mmol),rEGLN(mmol),rEGLU(mmol),rEPYR(mmol),rGLY(mmol),rHIS(mmol),rILE(mmol),rLAC(mmol),rLEU(mmol),rLYS(mmol),rMET(mmol),rNH4(mmol),rPHE(mmol),rPRO(mmol),rSER(mmol),rTHR(mmol),rTYR(mmol),rVAL(mmol),rmAB(mg),rX(Mcells)
0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,279.7200000000003,177.75449875128066,-66.7739284114682,-119.75562587784795,-131.7624001590233,-11.104980498537515,-1624.8329147352251,-160.63383533926205,-22.83306805648901,-9.97354253490376,47.64501428107873,-46.661574842128005,-33.00105182438935,1683.9639461967065,-60.578420061923254,-55.149318484909614,-14.066308630875183,382.3791300224193,-24.924511785126988,-29.613281329168295,-180.56105902243772,-145.2382769121223,-21.155739292653628,-46.63550010336051,1.6484903761046486e-05,616.8634188396658
24.0,289.44000000000034,467.80250136667047,-160.86006028501407,-292.19808318122546,-325.27665583262956,-25.053729944568307,-3627.507255377665,-379.62508919493735,-45.26883088454841,-31.769564886081156,149.03604692515174,-115.48497160821445,-75.1831382092169,3298.1142599702725,-137.39990090363673,-125.15141070863888,-31.734724594933464,953.6374429504449,-56.231704985494574,-66.80994651818393,-442.53739021898167,-369.21185758231354,-48.45915960177154,-105.94355108613314,4.136098175878036e-05,1391.6491027016982
36.0,299.1600000000003,885.0429384277998,-282.29163074610403,-522.2650019213006,-585.470970666218,-40.90531312519025,-5923.57714188189,-656.7188044044832,-61.08380782484823,-66.03672050561926,313.5874341549374,-208.20756364267032,-124.24720828828765,4556.3868428222395,-225.82873588019189,-205.83058279699497,-51.813396622440486,1743.510243111748,-91.8097027898763,-109.08083499928202,-795.7099208123449,-673.0643804737289,-80.6148742882591,-174.4698427374129,7.622702252957737e-05,2272.033261145641
48.0,308.8800000000004,1430.0547564324681,-428.90203320373683,-809.8437975019783,-910.3949700562757,-57.655555798157245,-8440.61788701462,-986.9021538511624,-64.77258097501276,-113.74311171112436,534.1508599397058,-324.48141548213425,-177.49557653278774,5270.041246461541,-320.6735400945043,-292.4863794824376,-73.03037067318297,2763.782965478806,-129.40469189898124,-153.74814879312402,-1243.9165970773647,-1040.8218374149842,-115.99631701503233,-248.28378670875267,0.00012200705497560229,3202.1475643555614
60.0,318.60000000000065,2073.6040614079698,-597.5859423079528,-1147.394841372385,-1199.6412124456565,-73.56515651663395,-11048.560982760227,-1366.2423240414603,-49.66563759178446,-175.66816575080728,775.7132936861542,-464.35126995258076,-230.4656851079145,5298.922444700765,-413.15249045211533,-377.1873028223028,-93.1825315811619,4018.464997603242,-165.1129068432399,-196.1737507081468,-1782.2512128606531,-1422.189593675683,-151.99618482391597,-320.7873495000731,0.00017892859400293098,4085.1325918974194
72.0,328.32000000000085,2729.312121808415,-777.5956171976646,-1507.0234906057376,-1199.8514497321594,-84.8685370146291,-13375.759151184742,-1791.0215445030842,-6.5496172296936415,-250.41315616015135,970.63210642719,-623.8892668301885,-273.5884361780906,4427.738429482542,-484.3453030903106,-442.85401832834674,-107.50014687620556,5478.106660635458,-190.48271640349347,-226.31609870174302,-2376.8753103136314,-1716.4413820322486,-183.06199669638212,-377.78813996029794,0.00024470560092883426,4710.963247871343
84.0,348.5800000000134,3394.997268466788,-965.1575887185074,-1881.0713271973507,-1200.3475252099126,-95.87513376362996,-15874.188882978837,-2208.3180436802527,46.319096874958795,-334.6418410282324,1214.5121850297328,-791.6757270928255,-316.09832995466337,3331.41029789533,-553.8473442832166,-507.00936118714344,-121.03018184011167,7027.500179767523,-214.86051837992886,-255.4869246307166,-3032.0690099559633,-2056.0467345499046,-213.85724899807224,-433.9553388157665,11203.4852667967,5297.869801550408
96.0,421.5400000000136,4178.113264138121,-1197.0880685378418,-2242.207350240342,-1201.1156485386527,-108.34617139159685,-18709.827144344577,-2727.296315920337,106.40732100030796,-432.56394594241596,1683.9552118347551,-1001.8995978426733,-360.4028390247524,2424.0134617563976,-627.2311603967413,-574.486458165085,-134.54403837846098,8770.70306878075,-241.0438598608477,-287.7443038553247,-3757.349820960705,-2629.543928427575,-245.00199237689733,-494.3681097371934,73331.39010568666,5867.646532863223
108.0,494.5000000000137,5061.022456288864,-1463.6135228226672,-2549.843587160488,-1202.5288983385776,-119.59928422572635,-21714.65761436518,-3360.167266081698,180.13992258060932,-544.6295103555116,2349.5434016288878,-1248.7467570712627,-401.5296192014121,1680.3539862835953,-694.7940832304997,-636.6997170352558,-146.97568690452172,10683.415748566518,-264.8581967130233,-316.9553509475747,-4534.756234888972,-3389.600877665142,-274.2393455969754,-549.9471165981022,122926.52464004172,6392.001094748897
